id,url,crawl_date,brand,model_core,model,model,price_numeric,year,car_age,is_brand_new,odo_numeric,odo_per_year,transmission,fuel,origin,condition,is_first_owner,has_upgrades,is_verified_accident_free,is_dense_model,final_model_feature,msrp_proxy,high_usage,age_bucket,is_luxury_brand,predicted,predicted_price,price_diff_absolute,price_diff_pct
6774572,https://bonbanh.com/xe-mazda-bt50-2.2l-4x2-at-2017-6774572,2026-06-06,Mazda,BT50,bt50,bt50,364.0,2017,9,0,116000.0,12888.89,Số tự động,Xăng,Nhập khẩu,Xe đã dùng,0,1,1,True,Mazda_bt50,565.0,0,Doi_Sau,0,459.1354624297977,459.1,-95.10000000000002,-0.20714441298192118
6653439,https://bonbanh.com/xe-mazda-bt50-2.2l-4x2-at-2017-6653439,2026-06-06,Mazda,BT50,bt50,bt50,365.0,2017,9,0,120000.0,13333.33,Số tự động,Xăng,Nhập khẩu,Xe đã dùng,1,1,1,True,Mazda_bt50,565.0,0,Doi_Sau,0,458.69286626643105,458.7,-93.69999999999999,-0.2042729452801395
6727917,https://bonbanh.com/xe-chevrolet-colorado-ltz-2.8l-4x4-mt-2017-6727917,2026-06-06,Chevrolet,Colorado,colorado,colorado,330.0,2017,9,0,160000.0,17777.78,Số tay,Xăng,Nhập khẩu,Xe đã dùng,0,0,1,True,Chevrolet_colorado,319.0,0,Doi_Sau,0,414.5069841963205,414.5,-84.5,-0.20386007237635706
6833300,https://bonbanh.com/xe-vinfast-lux_a_2.0-base-2.0-at-2019-6833300,2026-06-06,VinFast,Lux A 2.0,lux a 2.0,lux a 2.0,435.0,2019,7,0,90000.0,12857.14,Số tự động,Xăng,Lắp ráp trong nước,Xe đã dùng,1,0,1,True,VinFast_lux a 2.0,600.0,0,Doi_Sau,0,544.6232454290287,544.6,-109.60000000000002,-0.2012486228424532
6826305,https://bonbanh.com/xe-volkswagen-polo-1.6-at-2016-6826305,2026-06-06,Volkswagen,Polo,Polo,Polo,245.0,2016,10,0,65000.0,6500.0,Số tự động,Xăng,Nhập khẩu,Xe đã dùng,0,1,1,False,Volkswagen_Polo,1869.0,0,Doi_Sau,0,306.44032860394964,306.4,-61.39999999999998,-0.20039164490861613
6823178,https://bonbanh.com/xe-toyota-vios-1.5e-cvt-2017-6823178,2026-06-06,Toyota,Vios,Vios,Vios,265.0,2017,9,0,120000.0,13333.33,Số tự động,Xăng,Lắp ráp trong nước,Xe đã dùng,0,1,1,True,Toyota_Vios,632.0,0,Doi_Sau,0,331.0761620206356,331.1,-66.10000000000002,-0.19963757173059504
6823119,https://bonbanh.com/xe-toyota-vios-1.5e-cvt-2017-6823119,2026-06-06,Toyota,Vios,Vios,Vios,265.0,2017,9,0,120000.0,13333.33,Số tự động,Xăng,Lắp ráp trong nước,Xe đã dùng,0,1,1,True,Toyota_Vios,632.0,0,Doi_Sau,0,331.0761620206356,331.1,-66.10000000000002,-0.19963757173059504
6799021,https://bonbanh.com/xe-mazda-cx3-deluxe-1.5-at-2021-6799021,2026-06-06,Mazda,CX3,cx3,cx3,450.0,2021,5,0,59000.0,11800.0,Số tự động,Xăng,Nhập khẩu,Xe đã dùng,0,0,1,True,Mazda_cx3,565.0,0,Trung_Han,0,561.5037343009928,561.5,-111.5,-0.19857524487978628
6832212,https://bonbanh.com/xe-toyota-vios-1.5e-2017-6832212,2026-06-06,Toyota,Vios,Vios,Vios,200.0,2017,9,0,190000.0,21111.11,Số tay,Xăng,Lắp ráp trong nước,Xe đã dùng,0,0,1,True,Toyota_Vios,632.0,0,Doi_Sau,0,249.38356797925306,249.4,-49.400000000000006,-0.19807538091419408
6830892,https://bonbanh.com/xe-chevrolet-trailblazer-lt-2.5l-vgt-4x2-at-2018-6830892,2026-06-06,Chevrolet,Trailblazer,trailblazer,trailblazer,435.0,2018,8,0,102000.0,12750.0,Số tự động,Xăng,Nhập khẩu,Xe đã dùng,0,1,1,True,Chevrolet_trailblazer,319.0,0,Doi_Sau,0,541.3074859981593,541.3,-106.29999999999995,-0.1963790873822279
6831929,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2019-6831929,2026-06-06,Mazda,AZ,AZ,AZ,350.0,2019,7,0,82000.0,11714.29,Số tự động,Xăng,Lắp ráp trong nước,Xe đã dùng,0,0,1,True,Mazda_AZ,565.0,0,Doi_Sau,0,433.5161817568139,433.5,-83.5,-0.19261822376009227
6828767,https://bonbanh.com/xe-mazda-3-1.5l-deluxe-2020-6828767,2026-06-06,Mazda,AZ,AZ,AZ,399.0,2020,6,0,40000.0,6666.67,Số tự động,Xăng,Lắp ráp trong nước,Xe đã dùng,0,0,1,True,Mazda_AZ,565.0,0,Trung_Han,0,493.5360529080263,493.5,-94.5,-0.19148936170212766
6734282,https://bonbanh.com/xe-kia-morning-van-1.0-at-2016-6734282,2026-06-06,Kia,Morning,Morning,Morning,175.0,2016,10,0,90000.0,9000.0,Số tự động,Xăng,Nhập khẩu,Xe đã dùng,0,1,1,True,Kia_Morning,580.0,0,Doi_Sau,0,216.39073980733548,216.4,-41.400000000000006,-0.19131238447319782
6468560,https://bonbanh.com/xe-kia-morning-van-1.0-at-2016-6468560,2026-06-06,Kia,Morning,Morning,Morning,176.0,2016,10,0,80000.0,8000.0,Số tự động,Xăng,Nhập khẩu,Xe đã dùng,0,0,1,True,Kia_Morning,580.0,0,Doi_Sau,0,217.2431700217322,217.2,-41.19999999999999,-0.1896869244935543
