iter	Passed	Remaining
368	2184	2551
369	2190	2545
370	2197	2540
371	2203	2535
372	2208	2528
373	2216	2524
374	2223	2519
375	2228	2513
376	2235	2508
377	2240	2501
378	2246	2495
379	2252	2489
380	2257	2483
381	2263	2476
382	2269	2470
383	2275	2464
384	2280	2458
385	2286	2452
386	2293	2447
387	2299	2441
388	2305	2435
389	2310	2429
390	2316	2423
391	2322	2417
392	2328	2411
393	2334	2405
394	2340	2399
395	2346	2393
396	2352	2387
397	2357	2381
398	2364	2375
399	2370	2370
400	2376	2364
401	2382	2358
402	2388	2353
403	2394	2346
404	2399	2340
405	2405	2334
406	2411	2328
407	2417	2322
408	2422	2316
409	2428	2309
410	2435	2304
411	2441	2299
412	2447	2293
413	2453	2287
414	2459	2281
415	2464	2275
416	2471	2269
417	2477	2263
418	2483	2257
419	2488	2251
420	2494	2246
421	2501	2240
422	2507	2234
423	2513	2228
424	2519	2223
425	2525	2217
426	2531	2211
427	2537	2205
428	2543	2199
429	2549	2193
430	2555	2187
431	2561	2181
432	2566	2175
433	2572	2169
434	2578	2163
435	2584	2157
436	2590	2151
437	2596	2145
438	2602	2140
439	2608	2133
440	2614	2128
441	2620	2122
442	2626	2116
443	2631	2110
444	2637	2104
445	2643	2098
446	2649	2092
447	2655	2086
448	2660	2080
449	2666	2074
450	2672	2068
451	2678	2062
452	2684	2056
453	2690	2050
454	2696	2044
455	2703	2039
456	2711	2034
457	2718	2029
458	2723	2023
459	2729	2017
460	2735	2011
461	2741	2005
462	2747	1999
463	2753	1993
464	2759	1987
465	2764	1981
466	2770	1975
467	2776	1969
468	2783	1964
469	2789	1958
470	2794	1952
471	2800	1946
472	2806	1940
473	2812	1934
474	2818	1928
475	2824	1922
476	2830	1916
477	2837	1911
478	2844	1905
479	2850	1900
480	2855	1894
481	2861	1887
482	2867	1881
483	2873	1875
484	2878	1869
485	2884	1863
486	2890	1857
487	2896	1851
488	2902	1846
489	2908	1840
490	2914	1834
491	2919	1827
492	2925	1821
493	2931	1815
494	2936	1809
495	2943	1804
496	2949	1797
497	2955	1792
498	2960	1786
499	2966	1779
500	2972	1773
501	2977	1767
502	2983	1761
503	2989	1755
504	2995	1749
505	3000	1743
506	3006	1737
507	3012	1731
508	3018	1725
509	3024	1719
510	3030	1713
511	3035	1707
512	3041	1701
513	3047	1695
514	3053	1689
515	3058	1683
516	3065	1678
517	3072	1672
518	3078	1666
519	3084	1660
520	3090	1654
521	3095	1648
522	3101	1642
523	3107	1636
524	3113	1631
525	3120	1625
526	3125	1619
527	3131	1613
528	3137	1607
529	3143	1601
530	3148	1595
531	3155	1589
532	3162	1584
533	3169	1579
534	3176	1573
535	3182	1567
536	3188	1561
537	3195	1556
538	3201	1550
539	3207	1544
540	3213	1538
541	3219	1532
542	3225	1526
543	3233	1521
544	3239	1515
545	3244	1509
546	3251	1503
547	3257	1497
548	3263	1492
549	3269	1486
550	3275	1480
551	3281	1474
552	3287	1468
553	3293	1462
554	3300	1456
555	3307	1451
556	3313	1445
557	3320	1440
558	3326	1434
559	3332	1428
560	3339	1422
561	3345	1416
562	3351	1410
563	3357	1404
564	3362	1398
565	3368	1392
566	3374	1386
567	3380	1380
568	3387	1375
569	3394	1369
570	3400	1363
571	3406	1357
572	3412	1351
573	3418	1345
574	3423	1339
575	3429	1333
576	3435	1327
577	3441	1321
578	3447	1315
579	3453	1310
580	3459	1304
581	3465	1298
582	3471	1292
583	3477	1286
584	3485	1280
585	3491	1275
586	3497	1269
587	3503	1263
588	3509	1257
589	3515	1251
590	3521	1245
591	3526	1239
592	3532	1233
593	3539	1227
594	3545	1221
595	3551	1215
596	3556	1209
597	3562	1203
598	3568	1197
599	3574	1191
600	3580	1185
601	3586	1179
602	3592	1173
603	3598	1167
604	3604	1161
605	3610	1155
606	3616	1149
607	3623	1144
608	3630	1138
609	3636	1132
610	3641	1126
611	3647	1120
612	3653	1114
613	3659	1108
614	3664	1102
615	3670	1096
616	3676	1090
617	3682	1084
618	3688	1078
619	3694	1072
620	3700	1066
621	3705	1060
622	3712	1054
623	3718	1048
624	3723	1042
625	3729	1036
626	3735	1030
627	3743	1025
628	3749	1019
629	3755	1013
630	3761	1007
631	3767	1001
632	3773	995
633	3779	989
634	3785	983
635	3791	977
636	3797	971
637	3803	965
638	3809	959
639	3815	953
640	3821	947
641	3828	942
642	3834	936
643	3840	930
644	3846	924
645	3852	918
646	3858	912
647	3863	906
648	3869	900
649	3875	894
650	3881	888
651	3887	882
652	3893	876
653	3899	870
654	3905	864
655	3911	858
656	3917	852
657	3923	846
658	3929	840
659	3935	834
660	3940	828
661	3946	822
662	3952	816
663	3958	810
664	3964	804
665	3970	798
666	3976	792
667	3981	786
668	3989	781
669	3996	775
670	4002	769
671	4009	763
672	4015	757
673	4021	751
674	4027	745
675	4033	739
676	4039	733
677	4044	727
678	4050	721
679	4056	715
680	4062	709
681	4068	703
682	4075	698
683	4080	692
684	4086	686
685	4092	680
686	4098	674
687	4103	668
688	4109	662
689	4115	656
690	4121	650
691	4127	644
692	4133	638
693	4138	632
694	4144	626
695	4150	620
696	4155	614
697	4162	608
698	4168	602
699	4174	596
700	4179	590
701	4185	584
702	4191	578
703	4197	572
704	4203	566
705	4209	560
706	4215	554
707	4221	548
708	4226	542
709	4232	536
710	4238	530
711	4244	524
712	4250	518
713	4256	512
714	4262	506
715	4267	500
716	4273	494
717	4279	488
718	4285	482
719	4290	476
720	4296	470
721	4303	464
722	4309	458
723	4315	452
724	4321	447
725	4326	441
726	4332	435
727	4338	429
728	4346	423
729	4353	417
730	4359	411
731	4365	405
732	4370	399
733	4376	393
734	4382	387
735	4388	381
736	4394	375
737	4401	369
738	4407	363
739	4414	357
740	4420	351
741	4426	346
742	4433	340
743	4439	334
744	4446	328
745	4452	322
746	4459	316
747	4466	310
748	4472	304
749	4478	298
750	4485	292
751	4492	286
752	4500	280
753	4507	275
754	4514	269
755	4519	263
756	4529	257
757	4535	251
758	4541	245
759	4547	239
760	4554	233
761	4559	227
762	4565	221
763	4572	215
764	4578	209
765	4584	203
766	4591	197
767	4597	191
768	4603	185
769	4610	179
770	4616	173
771	4623	167
772	4630	161
773	4636	155
774	4643	149
775	4649	143
776	4655	137
777	4662	131
778	4669	125
779	4675	119
780	4681	113
781	4688	107
782	4695	101
783	4701	95
784	4708	89
785	4714	83
786	4721	77
787	4727	71
788	4734	66
789	4740	60
790	4746	54
791	4752	48
792	4758	42
793	4764	36
794	4770	30
795	4776	24
796	4782	18
797	4788	12
798	4796	6
799	4802	0
