iter	RMSE
409	197.4834936
410	197.3487596
411	197.2763571
412	197.1259124
413	197.0319807
414	196.9186869
415	196.8291653
416	196.7529426
417	196.6973158
418	196.6323829
419	196.5185635
420	196.3764284
421	196.3256807
422	196.0802509
423	195.9525606
424	195.8126965
425	195.7627318
426	195.6572881
427	195.5172948
428	195.3881193
429	195.3474006
430	195.1955014
431	195.1327992
432	194.9819398
433	194.846859
434	194.7617153
435	194.6419995
436	194.5144203
437	194.3062828
438	194.2695057
439	194.149015
440	194.0468796
441	193.9423207
442	193.8059486
443	193.7266489
444	193.6294675
445	193.4065764
446	193.344876
447	193.2351285
448	193.1940115
449	193.1427665
450	192.9312917
451	192.7919988
452	192.5884363
453	192.461079
454	192.3764487
455	192.3430634
456	192.2402928
457	192.1530648
458	192.0100589
459	191.8113284
460	191.6943234
461	191.5033616
462	191.4094543
463	191.3052802
464	191.24893
465	191.1968571
466	191.0867892
467	190.8940519
468	190.831065
469	190.7633635
470	190.6665523
471	190.6355581
472	190.5287614
473	190.4078566
474	190.3210134
475	190.2180759
476	190.1897482
477	190.1043922
478	189.9979444
479	189.8384153
480	189.7777882
481	189.7312546
482	189.6485517
483	189.474467
484	189.435848
485	189.3004964
486	189.1191675
487	189.0157966
488	188.9349456
489	188.7826694
490	188.5787655
491	188.4092609
492	188.3158482
493	188.1582803
494	188.0088897
495	187.9206748
496	187.7900481
497	187.7361922
498	187.5866279
499	187.4421512
500	187.3853713
501	187.3080681
502	187.1738533
503	187.0626977
504	186.8847626
505	186.8109301
506	186.6806282
507	186.5670063
508	186.5018602
509	186.4702566
510	186.4232187
511	186.3202785
512	186.2140867
513	186.1393631
514	186.0542221
515	185.9698286
516	185.8116616
517	185.6682138
518	185.6351885
519	185.5822718
520	185.4540042
521	185.3049554
522	185.2081956
523	185.0732108
524	184.9273319
525	184.832776
526	184.7698255
527	184.675646
528	184.5849083
529	184.4464013
530	184.3736584
531	184.272535
532	184.1193439
533	184.0445662
534	183.9300691
535	183.8256955
536	183.6841026
537	183.6055365
538	183.526513
539	183.3791447
540	183.3537149
541	183.216532
542	183.1532508
543	182.8742328
544	182.7579924
545	182.7100728
546	182.6362985
547	182.6126475
548	182.5132956
549	182.4109218
550	182.3054286
551	182.2429295
552	182.1787906
553	181.9131975
554	181.8199393
555	181.7521519
556	181.6369883
557	181.3837616
558	181.3380692
559	181.3080785
560	181.2138461
561	181.1474489
562	181.0300024
563	180.9911002
564	180.9102946
565	180.8309796
566	180.5905122
567	180.5254477
568	180.3900587
569	180.1215522
570	180.0340121
571	179.9889784
572	179.9028921
573	179.8156562
574	179.7412295
575	179.6673183
576	179.5796019
577	179.4386178
578	179.2098771
579	179.1171754
580	179.0337528
581	178.981408
582	178.9118916
583	178.8012893
584	178.6388358
585	178.5838813
586	178.522963
587	178.4445521
588	178.2266398
589	178.1219905
590	177.9938205
591	177.9453447
592	177.8875374
593	177.8283929
594	177.5844305
595	177.4054069
596	177.3308734
597	177.1033645
598	177.067817
599	176.9695533
600	176.912879
601	176.8409487
602	176.7625013
603	176.7040336
604	176.6171997
605	176.5560987
606	176.4717892
607	176.3806246
608	176.3428037
609	176.2571386
610	176.1876018
611	176.1338964
612	176.0841411
613	176.0062461
614	175.9548807
615	175.9023452
616	175.8461192
617	175.8060446
618	175.7315674
619	175.6122335
620	175.5771586
621	175.4983307
622	175.3195341
623	175.2528462
624	175.1626637
625	175.0341779
626	175.0136308
627	174.947758
628	174.8988774
629	174.8582375
630	174.7538045
631	174.659456
632	174.5464528
633	174.5037223
634	174.395857
635	174.3151819
636	174.2736149
637	174.1782994
638	174.1305954
639	174.0143568
640	173.8906332
641	173.7922461
642	173.7169134
643	173.656932
644	173.6245066
645	173.5068639
646	173.4497077
647	173.4158236
648	173.3514864
649	173.1512143
650	173.018539
651	172.9665398
652	172.9158635
653	172.8624886
654	172.7940562
655	172.7134055
656	172.6462651
657	172.5804392
658	172.5228758
659	172.4777994
660	172.4591855
661	172.4115826
662	172.3728241
663	172.3175948
664	172.2595282
665	172.1970948
666	172.1053409
667	172.07379
668	172.0290643
669	171.9666575
670	171.9277671
671	171.8489431
672	171.8054248
673	171.7301263
674	171.696019
675	171.6317178
676	171.610394
677	171.5723217
678	171.4844894
679	171.4480261
680	171.3853164
681	171.3473985
682	171.3119265
683	171.2010392
684	171.1583512
685	171.0942094
686	170.9894765
687	170.9221564
688	170.8230435
689	170.7643465
690	170.6949069
691	170.6272255
692	170.5761511
693	170.51676
694	170.4933649
695	170.425481
696	170.3948532
697	170.3477677
698	170.3076139
699	170.2606991
700	170.1755388
701	170.1292924
702	170.1083754
703	170.0150779
704	169.9416273
705	169.9094039
706	169.8642236
707	169.8209204
708	169.7749425
709	169.678047
710	169.629284
711	169.5529707
712	169.4604157
713	169.3564468
714	169.2948999
715	169.2572895
716	169.2085551
717	169.1191281
718	169.0700392
719	169.0193429
720	168.9775234
721	168.942688
722	168.858393
723	168.7960858
724	168.7454051
725	168.7136977
726	168.6086518
727	168.4784858
728	168.389689
729	168.3066796
730	168.200632
731	168.1385621
732	168.1004391
733	168.0611984
734	168.0168303
735	167.9801261
736	167.9372985
737	167.878651
738	167.8157261
739	167.7659141
740	167.6641649
741	167.6312309
742	167.5931898
743	167.5010396
744	167.3213338
745	167.2931676
746	167.2743939
747	167.1974783
748	167.1407373
749	167.0825017
750	167.0374902
751	167.0017172
752	166.9066396
753	166.8612352
754	166.8207664
755	166.8034168
756	166.7533482
757	166.7374795
758	166.7020214
759	166.6744677
760	166.5961983
761	166.5413877
762	166.4240095
763	166.387224
764	166.3306708
765	166.2899781
766	166.2357047
767	166.1384077
768	166.1152509
769	166.0628378
770	166.0043806
771	165.9680465
772	165.9148284
773	165.8781415
774	165.8402709
775	165.7964686
776	165.7462171
777	165.7112294
778	165.6605901
779	165.6256143
780	165.5804202
781	165.4700284
782	165.4318123
783	165.3919133
784	165.2888005
785	165.2732319
786	165.238293
787	165.1917016
788	165.0845269
789	165.0542598
790	164.9739997
791	164.9419542
792	164.8917746
793	164.8307134
794	164.7736163
795	164.7330429
796	164.7027628
797	164.6565447
798	164.6093351
799	164.5003191
